Wall time,Step,Value
1633503972.501591,50,0.8931999802589417
1633504175.9049542,51,0.8974000215530396
1633504378.489711,52,0.8977000117301941
1633504580.903136,53,0.8823999762535095
1633504784.2048736,54,0.8906999826431274
1633504987.9338484,55,0.8980000019073486
1633505190.303829,56,0.9065999984741211
1633505393.3111427,57,0.8942000269889832
1633505597.4078157,58,0.9016000032424927
1633505799.4303606,59,0.8920000195503235
1633506001.9809673,60,0.8988000154495239
1633506205.8198035,61,0.8938000202178955
1633506408.197422,62,0.90420001745224
1633506610.84763,63,0.9041000008583069
1633506814.7982342,64,0.9006999731063843
1633507017.4199533,65,0.9035000205039978
1633507219.8285258,66,0.9014000296592712
1633507423.804959,67,0.899399995803833
1633507626.1539648,68,0.9039000272750854
1633507828.418935,69,0.9093999862670898
1633508032.8518333,70,0.907800018787384
1633508235.4273653,71,0.9072999954223633
1633508437.6347947,72,0.900600016117096
1633508641.2492037,73,0.9088000059127808
1633508843.989234,74,0.9018999934196472
1633509046.4403398,75,0.9082000255584717
1633509249.7513404,76,0.9052000045776367
1633509453.05283,77,0.9082000255584717
1633509655.1915534,78,0.9065999984741211
1633509857.845351,79,0.9158999919891357
1633510061.0929055,80,0.9129999876022339
1633510263.3527544,81,0.9093000292778015
1633510466.0450528,82,0.9079999923706055
1633510669.373068,83,0.9082000255584717
1633510871.9458742,84,0.9144999980926514
1633511074.750379,85,0.9025999903678894
1633511278.2630305,86,0.9093000292778015
1633511480.5616865,87,0.9053000211715698
1633511683.245726,88,0.9199000000953674
1633511887.2393167,89,0.9128999710083008
1633512089.9138598,90,0.9082000255584717
1633512292.4276216,91,0.9114999771118164
1633512496.6235826,92,0.9142000079154968
1633512699.3121,93,0.9057000279426575
1633512902.2216115,94,0.9071999788284302
1633513105.9988065,95,0.9038000106811523
1633513308.353388,96,0.9146999716758728
1633513511.0281317,97,0.9108999967575073
1633513714.954001,98,0.9100000262260437
1633513917.399062,99,0.901199996471405
1633514120.299629,100,0.9140999913215637
1633514323.8505387,101,0.9139999747276306
1633514526.8672035,102,0.9140999913215637
1633514729.7165842,103,0.9097999930381775
1633514932.791405,104,0.9110999703407288
1633515136.7775707,105,0.9171000123023987
1633515339.263193,106,0.9211000204086304
1633515542.4369562,107,0.9120000004768372
1633515746.603111,108,0.9150999784469604
1633515948.993463,109,0.9103999733924866
1633516151.5530462,110,0.909500002861023
1633516355.4332726,111,0.9120000004768372
1633516558.063618,112,0.9178000092506409
1633516760.750723,113,0.9193000197410583
1633516964.3136766,114,0.9100000262260437
1633517166.9442613,115,0.9161999821662903
1633517369.4920661,116,0.9180999994277954
1633517572.646119,117,0.9157999753952026
1633517776.2300458,118,0.9139000177383423
1633517979.2307503,119,0.9079999923706055
1633518181.869337,120,0.9175999760627747
1633518385.7336638,121,0.9174000024795532
1633518588.139324,122,0.9168999791145325
1633518790.7688515,123,0.91839998960495
1633518994.5976691,124,0.9186000227928162
1633519197.1844456,125,0.9150000214576721
1633519399.5682948,126,0.9265999794006348
1633519603.646588,127,0.9174000024795532
1633519806.325079,128,0.9171000123023987
1633520008.6447701,129,0.9081000089645386
1633520212.3142507,130,0.919700026512146
1633520415.2216861,131,0.9189000129699707
1633520617.663595,132,0.9146000146865845
1633520820.690702,133,0.9156000018119812
1633521024.0654247,134,0.9218000173568726
1633521226.7913923,135,0.921999990940094
1633521429.8475697,136,0.9193999767303467
